Neptunian Script,Romanization,Pronunciation,Definition
PE,Pe,/pe/,Pink (adj)
PEKESEN,Pekesen,/ˈpekˤeɕ̟en̟/,Pakistan (n)
PEMW,Pemw,/peˈmɯ/,We are (pl.v)
PENCIFENYA,Penchivenya,/ˈpen̟ʨ̟iβen̟jˤa/,Pennsylvania (n)
PEDAFE,Pedave,/peˈð̟aβe/,Free (adj)
PEI,Pei,/pɛɪ/,"Future, Away (n)"
PEIFHN,Peifaht,/pɛɪˈɸḁx̩ˤt̝/,If
PA,Pa,/pa/,"I, Me (n)"
PAPADA,Pabada,/paˈbað̟a/,People [formal] (pl.n)
PAPAS,Pabas,/paˈbaɕ̟/,People [informal] (pl.n)
PADA,Pada,/paˈð̟a/,"Person, Body (n)"
PARADAIS,Paradais,/ˈpaɾað̟aɪɕ̟/,Paradise (n)
PAS,Pas,/paɕ̟/,Bus (n)
PAI,Pai,/paɪ/,Smart (adj)
PAIK,Paik,/paɪkˤ/,Bicycle (n)
PAIDEN,Paiden,/ˈpaɪð̟en̟/,Portal (n)
PAIDARIKA,Paidarika,/paɪð̟aˈɾ̟ikˤa/,Puerto Rico (n)
PI,Pi,/pi/,Move (v)
PIPEYAHFEN,Pipeyahfen,/piˈpejˤaxˤɸen̟/,Vacation (n)
PIPEHRE,Pibehre,/piˈbexˤɾ̟e/,Current (n)
PIPI,Pipi,/piˈpi/,"Leave, Exit (v)"
PIP,Pip,/pip/,Go (v)
PIFA,Pifa,/piˈɸa/,B (the letter) (n)
PIKRINNW,Pikrinnw,/piˈkˤɾ̟in̟ːɯ/,Fly (v)
PINIRH,Pinirh,/piˈn̟iɾ̟̥x̩/,"Bring, Grant (a wish) (v)"
PINWG,Pinwng,/piˈn̟ɯŋˤ/,Ambition (n)
PINYH,Pinyh,/piˈn̟j̥ˤx̩ˤ/,Goodbye
PIREINIF,Pireiniv,/piˈɾ̟ɛɪn̟iβ/,Approach (v)
PIRI,Piri,/piˈɾ̟i/,"Enter, Come, Arrive (v)"
PICA,Picha,/piˈʨ̟a/,P (the letter) (n)
PIHE,Pihe,/piˈxˤe/,"Jump, Boil (v)"
PIHEKKEI,Pihekkei,/piˈxˤekˤːɛɪ/,Ride (v)
PIHEN,Pihen,/piˈxˤen̟/,"Travel, Journey (v/n)"
PIHAKKEI,Pihakkei,/piˈxˤakˤːɛɪ/,Lead (v)
PIHAN,Pihan,/piˈxˤan̟/,Walk (v)
PIHAI,Pihai,/piˈxˤaɪ/,Follow (n)
PIYENW,Piyenw,/piˈjˤen̟ɯ/,Piano (n)
PIGW,Pingw,/piˈŋˤɯ/,"Flow, Watershed (v/n)"
PIGWF,Pingwv,/piˈŋˤɯβ/,Run (v)
PW,Pw,/pɯ/,Bird (n)
PWP,Pwp,/pɯp/,Birds (pl.n)
PWNANNAI,Pwnannai,/pɯˈn̟an̟ːaɪ/,Silver (n)
PWN,Pwn,/pɯn̟/,Color (n)
PH,Ph,/px̩ˤ/,Wave (n)
PHPENYE,Phpenye,/px̩ˤˈpen̟jˤe/,Phpenye (n/pl.n)
PHPERE,Pahbere,/pḁxˤˈbeɾ̟e/,"We have, Our (pl.v/adj)"
PHPW,Phpw,/px̩ˤˈpɯ/,I am (v)
PHP,Php,/px̩ˤp/,We (pl.n)
PHFEN,Pahven,/pḁxˤˈβen̟/,Who
PHFENNYE,Pahvennye,/pḁxˤˈβen̟ːjˤe/,Doctor (n)
PHFES,Pahves,/pḁxˤˈβeɕ̟/,Teacher (n)
PHKRE,Phkre,/px̩ˤˈkˤɾ̟e/,About
PHNAG,Pahnang,/pḁxˤˈn̟aŋˤ/,Martian person (n)
PHNYEI,Pahnyei,/pḁxˤˈn̟jˤɛɪ/,Bridge (n)
PHNYEINA,Pahnyeina,/pḁxˤˈn̟jˤɛɪn̟a/,"Tunnel, Pipe, Through (n)"
PHDEP,Pahdep,/pḁxˤˈð̟ep/,"Leader, Captain (n)"
PHDEKRIFWM,Pahdegrivwm,/pḁxˤˈð̟egˤɾ̟iβɯm/,Waiter (n)
